,origin_city,origin_state,origin_lat,origin_lon,destination_city,destination_state,destination_lat,destination_lon,distance_mile,filter
2391,Charleston,West Virginia,38.3506,-81.6333,Nashville,Tennessee,36.1622,-86.7744,320.6495657974552,0
2097,Nashville,Tennessee,36.1622,-86.7744,Charleston,West Virginia,38.3506,-81.6333,320.6495657974552,1
370,Dover,Delaware,39.1582,-75.5244,Boston,Massachusetts,42.3603,-71.0583,321.85109823226026,0
1007,Boston,Massachusetts,42.3603,-71.0583,Dover,Delaware,39.1582,-75.5244,321.85109823226026,1
1737,Columbus,Ohio,39.9623,-83.0007,Harrisburg,Pennsylvania,40.2663,-76.8861,323.8133736987604,0
1884,Harrisburg,Pennsylvania,40.2663,-76.8861,Columbus,Ohio,39.9623,-83.0007,323.8133736987604,1
1882,Harrisburg,Pennsylvania,40.2663,-76.8861,Raleigh,North Carolina,35.7804,-78.6391,324.380478371069,0
1637,Raleigh,North Carolina,35.7804,-78.6391,Harrisburg,Pennsylvania,40.2663,-76.8861,324.380478371069,1
1950,Columbia,South Carolina,34.0007,-81.0343,Montgomery,Alabama,32.367,-86.3006,324.8229300282868,0
39,Montgomery,Alabama,32.367,-86.3006,Columbia,South Carolina,34.0007,-81.0343,324.8229300282868,1
191,Little Rock,Arkansas,34.7465,-92.2896,Nashville,Tennessee,36.1622,-86.7744,325.49763070760775,0
2053,Nashville,Tennessee,36.1622,-86.7744,Little Rock,Arkansas,34.7465,-92.2896,325.49763070760775,1
762,Topeka,Kansas,39.049,-95.6776,Springfield,Illinios,39.7997,-89.6475,326.02800723151756,0
615,Springfield,Illinios,39.7997,-89.6475,Topeka,Kansas,39.049,-95.6776,326.02800723151756,1
1191,Jackson,Mississippi,32.299,-90.1848,Nashville,Tennessee,36.1622,-86.7744,330.5027230663956,0
2073,Nashville,Tennessee,36.1622,-86.7744,Jackson,Mississippi,32.299,-90.1848,330.5027230663956,1
1919,Providence,Rhoda Island,41.8249,-71.4136,Annapolis,Maryland,38.9786,-76.4928,331.81120795508764,0
988,Annapolis,Maryland,38.9786,-76.4928,Providence,Rhoda Island,41.8249,-71.4136,331.81120795508764,1
1213,Jefferson City,Missouri,38.5774,-92.1724,Indianapolis,Indiana,39.7683,-86.1584,332.5079998259544,0
674,Indianapolis,Indiana,39.7683,-86.1584,Jefferson City,Missouri,38.5774,-92.1724,332.5079998259544,1
1062,Lansing,Michigan,42.7338,-84.5554,Springfield,Illinios,39.7997,-89.6475,333.2146409855131,0
621,Springfield,Illinios,39.7997,-89.6475,Lansing,Michigan,42.7338,-84.5554,333.2146409855131,1
1741,Columbus,Ohio,39.9623,-83.0007,Nashville,Tennessee,36.1622,-86.7744,333.32009673329776,0
2084,Nashville,Tennessee,36.1622,-86.7744,Columbus,Ohio,39.9623,-83.0007,333.32009673329776,1
397,Dover,Delaware,39.1582,-75.5244,Charleston,West Virginia,38.3506,-81.6333,333.8893434245742,0
