origin,destination
"Denver,Colorado,39.7392364,-104.98486229999999","Atlanta,Georgia,33.749098700000005,-84.39018490000001"
"Denver,Colorado,39.7392364,-104.98486229999999","Honolulu,Hawaii,21.3250785,-157.8466442"
"Denver,Colorado,39.7392364,-104.98486229999999","Boise,Idaho,43.61656,-116.20083500000001"
"Denver,Colorado,39.7392364,-104.98486229999999","Springfield,Illinios,39.799749,-89.647463"
"Denver,Colorado,39.7392364,-104.98486229999999","Indianapolis,Indiana,39.7683331,-86.1583502"
"Denver,Colorado,39.7392364,-104.98486229999999","Des Monies,Iowa,41.587185999999996,-93.621949"
"Denver,Colorado,39.7392364,-104.98486229999999","Topeka,Kansas,39.049011,-95.67755600000001"
"Denver,Colorado,39.7392364,-104.98486229999999","Frankfort,Kentucky,38.2009055,-84.8732836"
"Denver,Colorado,39.7392364,-104.98486229999999","Baton Rouge,Louisiana,30.445959600000002,-91.18738"
"Denver,Colorado,39.7392364,-104.98486229999999","Augusta,Maine,44.310583,-69.779663"
"Denver,Colorado,39.7392364,-104.98486229999999","Annapolis,Maryland,38.9786401,-76.492786"
"Denver,Colorado,39.7392364,-104.98486229999999","Boston,Massachusetts,42.3602534,-71.0582912"
"Denver,Colorado,39.7392364,-104.98486229999999","Lansing,Michigan,42.73377120000001,-84.5553805"
"Denver,Colorado,39.7392364,-104.98486229999999","St. Paul,Minnesota,44.9504037,-93.10150259999999"
"Denver,Colorado,39.7392364,-104.98486229999999","Jackson,Mississippi,32.29903839999999,-90.1847691"
"Denver,Colorado,39.7392364,-104.98486229999999","Jefferson City,Missouri,38.577359,-92.1724265"
